epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.28,3.72228,7.96561,0.04079,0.0004,0.02515,0.00024,6e-05,3.9786,4.7347,0.0437,0.00995349,0.00331783,0.00995349,0.00331783,0.00995349,0.00331783,0.00995349,0.00331783
2,218.357,3.35781,6.94723,0.03641,0.00101,0.10281,0.001,0.00025,3.45273,4.436,0.04038,0.019914,0.00663799,0.019914,0.00663799,0.019914,0.00663799,0.019914,0.00663799
3,293.715,2.74663,4.8451,0.02683,0.02664,0.01761,0.00935,0.00274,3.18186,4.35925,0.03204,0.0298349,0.00994496,0.0298349,0.00994496,0.0298349,0.00994496,0.0298349,0.00994496
4,363.539,2.47226,3.77639,0.02125,0.1412,0.0504,0.02049,0.00606,2.90397,4.12524,0.02813,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,435.291,2.18021,3.18886,0.01821,0.2229,0.1023,0.05066,0.01882,2.75282,3.78262,0.02465,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,505.055,2.06807,2.91619,0.01704,0.15485,0.13354,0.09135,0.04226,2.53746,3.23511,0.02069,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,574.525,1.97732,2.66987,0.01583,0.22978,0.17029,0.11591,0.05297,2.53446,3.09318,0.02069,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,644.808,1.87943,2.47325,0.01454,0.27306,0.20543,0.15091,0.07159,2.37952,2.96075,0.01845,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,714.736,1.83996,2.37022,0.01381,0.22487,0.17352,0.13445,0.06301,2.48161,3.07098,0.01919,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,784.663,1.73586,2.25562,0.01325,0.34381,0.20794,0.19738,0.10561,2.30288,2.86226,0.01787,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,854.363,1.71984,2.14471,0.01235,0.29581,0.22046,0.2044,0.11403,2.23611,2.59307,0.01614,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
