epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,354.852,3.4036,7.80459,0.03988,0.49623,0.0028,0.00209,0.00068,3.66634,4.58386,0.04253,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836
2,607.741,2.41051,4.68236,0.02536,0.22245,0.04564,0.02829,0.01213,3.00804,4.00172,0.02977,0.0199455,0.0066485,0.0199455,0.0066485,0.0199455,0.0066485,0.0199455,0.0066485
3,839.347,1.95358,2.89696,0.0189,0.24309,0.10546,0.07749,0.03245,2.79775,3.82702,0.0256,0.0298663,0.00995544,0.0298663,0.00995544,0.0298663,0.00995544,0.0298663,0.00995544
4,1061.99,1.73997,2.34189,0.01601,0.26836,0.14523,0.09781,0.04645,2.63443,3.5473,0.02236,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1283.58,1.60214,2.07598,0.01406,0.35452,0.17509,0.1536,0.08473,2.47848,3.13611,0.01937,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1505.96,1.50014,1.90355,0.01305,0.38331,0.18974,0.17771,0.10015,2.37848,3.01498,0.01774,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1728.62,1.45435,1.80702,0.01228,0.28733,0.20538,0.17267,0.09801,2.38564,2.80254,0.01801,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1949.86,1.38496,1.68064,0.01146,0.45991,0.17714,0.17899,0.0971,2.39584,2.85824,0.01862,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2172.16,1.34688,1.60619,0.01113,0.38449,0.19277,0.21239,0.12941,2.264,2.75892,0.01583,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2392.72,1.31144,1.55263,0.0108,0.30628,0.21655,0.20145,0.11752,2.26311,2.80261,0.01583,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2614.46,1.29034,1.49886,0.01048,0.4731,0.21901,0.22554,0.1315,2.20561,2.63913,0.01518,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2837.42,1.27416,1.47484,0.01028,0.47335,0.22468,0.23999,0.1434,2.19997,2.72093,0.01555,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,3059.54,1.27403,1.4442,0.01002,0.45706,0.2246,0.23538,0.14762,2.21742,2.71375,0.01438,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
