epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,167.823,1.70052,3.11943,0.00525,0.44872,0.25767,0.23732,0.13912,1.48505,1.50873,0.0086,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,286.705,1.59233,2.00346,0.00475,0.6018,0.32884,0.37841,0.21896,1.4198,1.33272,0.00826,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,396.235,1.58162,1.61736,0.00481,0.47635,0.41133,0.42415,0.23207,1.5372,1.31314,0.00937,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,503.635,1.58693,1.39838,0.00481,0.58406,0.41691,0.45932,0.26322,1.46496,1.21494,0.00866,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,611.706,1.55104,1.26877,0.00464,0.53557,0.47432,0.50183,0.29813,1.38372,1.10487,0.00804,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,718.716,1.52488,1.19294,0.00452,0.59108,0.49443,0.53507,0.30859,1.41539,1.0821,0.00833,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,825.689,1.49412,1.14692,0.00448,0.54687,0.49744,0.51804,0.30852,1.40056,1.06275,0.00825,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,931.85,1.48604,1.10719,0.00438,0.63004,0.53572,0.58266,0.35616,1.33642,0.99283,0.00773,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1039.96,1.46504,1.08189,0.00432,0.65006,0.53637,0.59185,0.36239,1.34402,0.97297,0.00763,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1148.28,1.4381,1.04581,0.00424,0.64508,0.58132,0.63926,0.39301,1.30768,0.94228,0.00747,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1256.24,1.43216,1.0173,0.00418,0.66199,0.55316,0.59493,0.36895,1.315,0.96525,0.0075,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1363.81,1.41367,0.99902,0.00411,0.67345,0.5661,0.6353,0.4003,1.26792,0.93088,0.00731,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1470.34,1.39441,0.97521,0.00404,0.71743,0.58092,0.65818,0.41481,1.27411,0.87749,0.00732,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1578.47,1.3873,0.96356,0.00404,0.76478,0.58206,0.66493,0.41711,1.28085,0.87669,0.00751,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1686.69,1.37795,0.94114,0.00398,0.61334,0.65527,0.68705,0.43642,1.23246,0.8519,0.00697,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1794.15,1.36816,0.93622,0.00396,0.73987,0.62782,0.70238,0.44528,1.20493,0.84402,0.00684,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1901.64,1.35249,0.91442,0.00391,0.67934,0.62283,0.70507,0.45675,1.2151,0.82387,0.00679,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,2008.49,1.34601,0.89397,0.00385,0.73531,0.65476,0.71673,0.44621,1.21847,0.82168,0.00683,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,2115.84,1.3345,0.88413,0.00387,0.71328,0.66979,0.72555,0.46946,1.20723,0.81929,0.00686,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,2223.26,1.32594,0.87584,0.00377,0.7536,0.64365,0.7285,0.47104,1.18649,0.80135,0.00671,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,2330.64,1.31684,0.86699,0.00378,0.73881,0.67269,0.73231,0.47524,1.16967,0.75434,0.00658,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,2438.65,1.31432,0.86446,0.00372,0.73698,0.66951,0.74146,0.47808,1.18127,0.75543,0.00661,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,2546.34,1.30025,0.82911,0.00369,0.76623,0.66809,0.75077,0.48242,1.1667,0.75238,0.00654,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,2654.64,1.28674,0.82735,0.00368,0.76152,0.67773,0.7533,0.49251,1.15907,0.75046,0.0065,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,2762.39,1.28533,0.82388,0.00363,0.75864,0.71254,0.76857,0.50008,1.13595,0.733,0.00636,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,2869.17,1.27704,0.81967,0.00363,0.78883,0.67836,0.76205,0.49503,1.13693,0.73971,0.0063,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,2977.09,1.27231,0.80875,0.00362,0.78962,0.65533,0.75627,0.49782,1.12245,0.72764,0.00627,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,3084.11,1.26917,0.80362,0.00359,0.78406,0.68615,0.77286,0.51377,1.13093,0.70065,0.00625,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,3192.27,1.25674,0.8023,0.00356,0.77448,0.69821,0.77102,0.51612,1.1199,0.69947,0.00623,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,3300.36,1.24965,0.78876,0.00354,0.78288,0.70632,0.78603,0.52038,1.11177,0.70311,0.00621,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,3408.4,1.25557,0.7791,0.0035,0.81343,0.70387,0.8039,0.53026,1.09196,0.68208,0.00615,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,3515.81,1.24374,0.77865,0.00349,0.78444,0.71384,0.79004,0.52306,1.1087,0.71772,0.00616,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,3622.65,1.2402,0.76643,0.00349,0.829,0.69235,0.78293,0.52179,1.10317,0.6869,0.00614,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,3729.42,1.23336,0.7636,0.00349,0.79501,0.71485,0.80383,0.53477,1.07745,0.67781,0.00598,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,3837.53,1.23484,0.75894,0.00343,0.81827,0.71999,0.80767,0.54553,1.07851,0.67049,0.00594,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,3944.98,1.2322,0.75608,0.00341,0.78829,0.72235,0.78667,0.53139,1.08418,0.67533,0.006,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,4051.93,1.23023,0.75148,0.00341,0.79588,0.71903,0.80172,0.54273,1.07008,0.67256,0.00591,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
