epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,272.764,0.62998,2.39394,0.00709,0.71993,0.6404,0.71371,0.55212,0.82992,1.10227,0.01531,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,449.598,0.72132,1.14243,0.00861,0.63885,0.51716,0.56107,0.4024,1.04568,1.54745,0.02084,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,609.326,0.87569,1.23673,0.01075,0.44504,0.39004,0.3648,0.22708,1.37083,2.15757,0.0294,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,762.301,0.996,1.42812,0.0127,0.40871,0.34076,0.30314,0.17268,1.52773,2.37504,0.03359,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,918.797,1.01995,1.3831,0.01264,0.42683,0.33058,0.3002,0.17205,1.57039,2.49279,0.03446,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1072.66,0.99121,1.26481,0.01239,0.47696,0.37835,0.37438,0.22984,1.45533,2.18594,0.03124,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1230.01,0.96414,1.20896,0.01183,0.47647,0.34585,0.33927,0.20139,1.57057,2.40135,0.03612,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1383.2,0.9522,1.17696,0.01148,0.52605,0.38883,0.39597,0.24383,1.50307,2.16685,0.03232,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1536.9,0.92736,1.13684,0.01151,0.53653,0.40524,0.41616,0.26625,1.42238,2.08088,0.03017,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1690.5,0.92119,1.09095,0.01112,0.54021,0.42891,0.43731,0.2781,1.4292,2.01691,0.03057,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1848.08,0.9127,1.07837,0.011,0.55902,0.43467,0.45937,0.29383,1.39197,1.89875,0.02952,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2001.61,0.89892,1.04618,0.01079,0.53624,0.43799,0.44165,0.28433,1.37561,2.08917,0.02907,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2159.05,0.88893,1.02174,0.01064,0.56679,0.45165,0.47742,0.30379,1.39741,1.92284,0.02987,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2315.69,0.88165,0.98199,0.01049,0.53632,0.39402,0.40497,0.24879,1.4727,2.19827,0.03248,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2469.38,0.8764,0.95891,0.01044,0.5984,0.4666,0.49364,0.31663,1.37809,1.82453,0.02911,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,2622.92,0.84976,0.93785,0.00993,0.57601,0.45615,0.48245,0.30629,1.42242,1.88989,0.03012,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,2777.23,0.84519,0.92413,0.01003,0.56505,0.46099,0.47854,0.3112,1.37055,1.91022,0.02869,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,2938.95,0.84575,0.9159,0.00976,0.59281,0.47808,0.51044,0.33328,1.35443,1.79614,0.02824,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,3097.31,0.84456,0.86871,0.0097,0.61453,0.47261,0.50495,0.3303,1.34559,1.78745,0.02799,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,3253.59,0.80028,0.85903,0.00949,0.61459,0.4833,0.51534,0.34161,1.34977,1.74258,0.02858,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,3414.05,0.8196,0.84914,0.00962,0.60723,0.46066,0.5023,0.32942,1.34523,1.80252,0.02792,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,3567.9,0.8165,0.83661,0.00938,0.60117,0.48646,0.51079,0.34079,1.29852,1.74183,0.02667,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,3725.88,0.79227,0.81266,0.00939,0.61093,0.48599,0.51667,0.34907,1.28374,1.76665,0.02636,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,3893.75,0.80633,0.8101,0.00919,0.60674,0.49464,0.52498,0.35185,1.3097,1.75258,0.02693,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,4051.9,0.79263,0.79611,0.0093,0.62695,0.50701,0.54017,0.36772,1.28097,1.70474,0.02622,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,4205.31,0.76937,0.79921,0.00903,0.63654,0.49928,0.53973,0.36225,1.29638,1.70837,0.02663,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
