epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,527.496,1.42816,1.64248,0.0043,0.60775,0.51695,0.56802,0.34508,1.27887,0.93659,0.00719,0.00998665,0.00332888,0.00998665,0.00332888,0.00998665,0.00332888,0.00998665,0.00332888
2,908.491,1.33625,0.98983,0.00397,0.65055,0.55549,0.64679,0.42143,1.21612,0.84806,0.00684,0.0199471,0.00664903,0.0199471,0.00664903,0.0199471,0.00664903,0.0199471,0.00664903
3,1258.22,1.36366,0.97352,0.00407,0.65132,0.55048,0.63472,0.38944,1.28592,0.87753,0.00748,0.0298679,0.00995597,0.0298679,0.00995597,0.0298679,0.00995597,0.0298679,0.00995597
4,1599.22,1.37209,0.98341,0.0042,0.68184,0.61615,0.6593,0.42705,1.23442,0.84078,0.00715,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1942.66,1.34377,0.92313,0.00405,0.70282,0.63145,0.69453,0.44634,1.18902,0.78093,0.00689,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2283.44,1.30473,0.86671,0.00389,0.71583,0.66928,0.72225,0.47339,1.14658,0.74058,0.00657,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2627.02,1.26972,0.82834,0.00373,0.75333,0.70256,0.76703,0.50058,1.15098,0.72081,0.00657,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2968.48,1.24234,0.80028,0.00362,0.77653,0.68138,0.75746,0.50987,1.11937,0.72033,0.0064,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3311.45,1.22101,0.76552,0.00357,0.79493,0.71733,0.78533,0.52087,1.10582,0.66694,0.00632,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3654.17,1.19442,0.73156,0.0035,0.80976,0.70138,0.78951,0.52773,1.07875,0.65946,0.00604,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3996.03,1.1822,0.71077,0.0034,0.78023,0.72237,0.8062,0.54197,1.04979,0.62672,0.0059,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,4338.76,1.15902,0.68289,0.00333,0.8222,0.73079,0.81922,0.56277,1.02611,0.60126,0.0057,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,4681.3,1.14249,0.67247,0.00323,0.78282,0.73688,0.81883,0.5611,1.01864,0.58968,0.00572,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,5022.84,1.12052,0.64712,0.00316,0.81334,0.73258,0.81532,0.5631,1.01121,0.58032,0.00566,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,5366.01,1.10462,0.64058,0.00316,0.81387,0.76698,0.83691,0.58513,0.99367,0.56262,0.0055,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,5708.89,1.09476,0.6189,0.00305,0.83174,0.77483,0.84667,0.60113,0.98628,0.55765,0.00549,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
