epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,120.37,3.33867,5.15002,0.03217,0.00249,0.03258,0.00143,0.00017,3.22454,3.96694,0.04041,0.00993007,0.00331002,0.00993007,0.00331002,0.00993007,0.00331002,0.00993007,0.00331002
2,202.901,3.24146,4.94371,0.03079,0.00264,0.10698,0.00315,0.0008,3.01595,3.97917,0.0378,0.0198906,0.0066302,0.0198906,0.0066302,0.0198906,0.0066302,0.0198906,0.0066302
3,280.244,2.82051,4.24328,0.02559,0.14885,0.03683,0.02154,0.00819,2.43584,3.61054,0.029,0.0298115,0.00993718,0.0298115,0.00993718,0.0298115,0.00993718,0.0298115,0.00993718
4,355.821,2.27781,3.45095,0.0196,0.33912,0.09426,0.04432,0.01805,2.22394,3.73705,0.02671,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,431.51,2.03731,2.9876,0.01682,0.38898,0.21171,0.16689,0.08301,1.83967,2.54578,0.0202,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,508.931,1.92725,2.70133,0.01538,0.40921,0.24044,0.19881,0.10158,1.78078,2.40533,0.01991,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,585.879,1.83477,2.4668,0.01438,0.38305,0.30228,0.26408,0.14092,1.67674,2.12028,0.01804,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,663.469,1.78554,2.34445,0.01385,0.48571,0.33082,0.32412,0.17782,1.6259,1.98529,0.01724,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,740.509,1.7172,2.19402,0.01334,0.43069,0.32677,0.3073,0.16965,1.5862,1.93861,0.01688,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,817.765,1.67317,2.09193,0.0129,0.49613,0.3518,0.33433,0.19541,1.53822,1.88094,0.01613,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,894.942,1.63471,1.99916,0.01228,0.51055,0.38355,0.37826,0.22379,1.52408,1.77404,0.01584,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,971.954,1.61654,1.91081,0.01238,0.53244,0.38432,0.39724,0.23359,1.51238,1.7518,0.01568,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1049.5,1.5832,1.86645,0.01187,0.53285,0.41812,0.42895,0.25646,1.45168,1.63781,0.01512,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1126.79,1.56542,1.79824,0.01146,0.42769,0.42532,0.42274,0.25744,1.44306,1.61567,0.01477,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
