epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,665.573,3.26512,7.24312,0.05134,0.30446,0.06138,0.00514,0.00183,2.76611,3.98691,0.06914,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088
2,1122.55,1.99928,3.85355,0.02888,0.1437,0.09293,0.05934,0.02356,2.01802,3.53936,0.04682,0.0199531,0.00665102,0.0199531,0.00665102,0.0199531,0.00665102,0.0199531,0.00665102
3,1529.21,1.67364,2.67563,0.02297,0.21783,0.17993,0.11985,0.05336,1.93818,3.08249,0.04501,0.0298739,0.00995796,0.0298739,0.00995796,0.0298739,0.00995796,0.0298739,0.00995796
4,1919,1.51872,2.29987,0.02042,0.3036,0.24156,0.19107,0.09407,1.81023,2.81496,0.04062,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2307.92,1.39524,2.0569,0.01837,0.34695,0.27853,0.23746,0.1243,1.74181,2.64964,0.0389,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2698.74,1.31311,1.88531,0.0171,0.42471,0.31622,0.29614,0.16129,1.66249,2.41434,0.03671,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,3089.68,1.26291,1.79551,0.0164,0.44314,0.3457,0.32942,0.18855,1.62295,2.29529,0.03527,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3479.3,1.21738,1.70564,0.01566,0.47308,0.34666,0.35521,0.20983,1.57251,2.21637,0.03367,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3868.87,1.18375,1.64271,0.01519,0.4775,0.36773,0.37158,0.21895,1.53452,2.14543,0.03301,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,4259.72,1.15232,1.59312,0.01455,0.50241,0.38532,0.3868,0.23486,1.49471,2.09438,0.03168,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,4650.54,1.13543,1.55223,0.01439,0.5345,0.40299,0.41646,0.25513,1.47953,2.02674,0.03116,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,5045.11,1.11751,1.51897,0.01407,0.53939,0.41177,0.42531,0.26328,1.45725,1.98964,0.03076,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,5461.65,1.09575,1.47247,0.01375,0.54311,0.42947,0.44687,0.27966,1.44502,1.9109,0.03027,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,5878.86,1.08402,1.45548,0.01356,0.53963,0.43483,0.44772,0.28329,1.41765,1.90356,0.02944,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,6271.36,1.07073,1.43278,0.01337,0.59584,0.42831,0.46711,0.2997,1.38861,1.86552,0.02876,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,6667.83,1.06062,1.42442,0.01331,0.61583,0.43358,0.48091,0.3096,1.38955,1.82802,0.02863,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,7074.42,1.04992,1.40545,0.01314,0.60433,0.46141,0.49585,0.32267,1.36769,1.78602,0.02807,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,7491.68,1.04201,1.3821,0.01293,0.61208,0.45763,0.50334,0.32939,1.36733,1.73679,0.02788,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,7915.33,1.03018,1.35731,0.01284,0.61273,0.47029,0.51174,0.33732,1.34825,1.7347,0.02747,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,8313.41,1.02921,1.35534,0.01274,0.63658,0.47324,0.5239,0.34879,1.32739,1.69955,0.02691,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,8700.17,1.01622,1.33935,0.01268,0.64482,0.48129,0.52938,0.35163,1.32515,1.69012,0.02696,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,9087.4,1.01071,1.31702,0.0125,0.64232,0.48203,0.53545,0.35708,1.32227,1.64923,0.02675,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,9477.65,1.00659,1.30608,0.01247,0.62825,0.50543,0.54376,0.3657,1.29299,1.64376,0.02602,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,9863.31,0.99829,1.29501,0.01234,0.63302,0.50606,0.5513,0.37482,1.29394,1.6087,0.02598,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,10248.1,0.99719,1.28989,0.01228,0.66502,0.50495,0.55969,0.37766,1.29013,1.59817,0.02595,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,10632.5,0.99374,1.2744,0.01219,0.67033,0.50326,0.56279,0.3804,1.29151,1.58694,0.02596,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,11018.7,0.98358,1.26919,0.01206,0.65798,0.51592,0.56767,0.38775,1.27402,1.5749,0.02553,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,11404,0.98479,1.26703,0.01205,0.65204,0.52519,0.57406,0.39293,1.26526,1.54841,0.02517,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,11790.5,0.9825,1.25753,0.01214,0.6695,0.52517,0.57991,0.3978,1.26367,1.53266,0.02523,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,12175.9,0.97594,1.24129,0.01193,0.6506,0.54304,0.58473,0.4009,1.25362,1.51883,0.02487,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
