epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,414.456,3.57477,7.06699,0.04949,0.00099,0.11296,0.00489,0.00126,3.33751,3.87081,0.04802,0.00998794,0.00332931,0.00998794,0.00332931,0.00998794,0.00332931,0.00998794,0.00332931
2,708.38,2.58368,4.39119,0.03239,0.2359,0.03606,0.03131,0.0108,2.58643,3.50752,0.03419,0.0199484,0.00664945,0.0199484,0.00664945,0.0199484,0.00664945,0.0199484,0.00664945
3,985.226,2.10992,3.05337,0.02401,0.18605,0.09075,0.05497,0.02245,2.40292,3.1976,0.0304,0.0298692,0.0099564,0.0298692,0.0099564,0.0298692,0.0099564,0.0298692,0.0099564
4,1259.46,1.93103,2.63591,0.02101,0.31922,0.14324,0.0986,0.03577,2.28437,2.92831,0.0283,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1536.2,1.81641,2.35537,0.01939,0.25144,0.17001,0.09669,0.04235,2.20031,2.8237,0.02668,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1812.24,1.72714,2.18153,0.01812,0.22108,0.20811,0.16485,0.079,2.14514,2.65768,0.02572,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2087.75,1.67379,2.08985,0.01716,0.31967,0.20833,0.18666,0.09392,2.095,2.53128,0.02446,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2364.2,1.62076,1.98776,0.01645,0.32492,0.21043,0.17975,0.09126,2.056,2.44444,0.02386,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2639.66,1.58727,1.91513,0.01593,0.28666,0.24203,0.19411,0.0979,2.03581,2.44508,0.02383,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2916.27,1.55988,1.86618,0.01559,0.33726,0.23384,0.20383,0.10357,2.00678,2.32459,0.02283,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3193.68,1.53572,1.83204,0.01513,0.38271,0.25425,0.21733,0.10534,1.99487,2.32823,0.02308,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3470.49,1.51884,1.79966,0.01483,0.36817,0.22072,0.20502,0.11049,1.95037,2.3179,0.02184,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,3748.16,1.48667,1.75449,0.01453,0.49953,0.19921,0.22635,0.12589,1.9672,2.24518,0.02232,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,4024.59,1.46574,1.70884,0.01423,0.42469,0.25122,0.24486,0.13206,1.95209,2.19226,0.02202,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,4301.73,1.45217,1.67107,0.01414,0.39066,0.28611,0.25933,0.14402,1.89191,2.1171,0.02115,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,4579.63,1.44463,1.65231,0.01404,0.36499,0.26475,0.25685,0.13295,1.896,2.10498,0.02093,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,4857.28,1.44102,1.63876,0.01371,0.36805,0.27517,0.28009,0.14988,1.89293,2.10108,0.02108,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,5134.49,1.40989,1.61859,0.01344,0.45775,0.30405,0.29709,0.16584,1.8647,2.05705,0.0205,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,5409.92,1.41145,1.58943,0.01347,0.45219,0.32116,0.32258,0.18115,1.84607,2.03395,0.01999,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,5685.86,1.40268,1.58359,0.01323,0.40703,0.31386,0.2863,0.16507,1.85287,2.02015,0.02045,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
