epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,395.999,0.85779,4.25858,0.01018,0.5743,0.51678,0.54265,0.40201,0.94046,1.51366,0.01672,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836
2,678.147,0.96573,2.6259,0.01191,0.56071,0.47318,0.48328,0.33416,1.11319,1.73444,0.02153,0.0199455,0.0066485,0.0199455,0.0066485,0.0199455,0.0066485,0.0199455,0.0066485
3,951.437,1.09664,2.09915,0.0141,0.47033,0.34237,0.32428,0.20139,1.36859,2.39461,0.02879,0.0298663,0.00995544,0.0298663,0.00995544,0.0298663,0.00995544,0.0298663,0.00995544
4,1220.12,1.20284,2.02022,0.01589,0.52217,0.41252,0.4163,0.24374,1.45176,2.06506,0.03078,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1487.21,1.20522,1.89336,0.01595,0.52661,0.39251,0.38931,0.2425,1.42678,2.13979,0.02999,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1751.19,1.18562,1.80225,0.01546,0.55461,0.45344,0.46681,0.29612,1.35528,1.8395,0.02813,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2024.45,1.17759,1.72515,0.01529,0.56411,0.45545,0.47643,0.30113,1.36157,1.80969,0.02781,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2298.68,1.15962,1.642,0.01508,0.59831,0.44327,0.47515,0.30552,1.35436,1.86068,0.02835,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2569.11,1.14217,1.60744,0.01458,0.59911,0.4714,0.50983,0.33032,1.33071,1.74895,0.02704,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2838.08,1.12932,1.57767,0.01434,0.60102,0.48737,0.52136,0.33963,1.29992,1.67672,0.02633,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3108.17,1.1164,1.53328,0.01427,0.60166,0.51257,0.54137,0.35213,1.30262,1.68505,0.02651,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3374.35,1.1078,1.50834,0.01438,0.63617,0.50871,0.55429,0.37015,1.27812,1.63508,0.02586,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,3637.9,1.09782,1.48486,0.01407,0.62539,0.5266,0.56357,0.3761,1.26136,1.56498,0.02527,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,3910.89,1.09319,1.45148,0.01394,0.64738,0.51986,0.57226,0.38508,1.2466,1.54473,0.02461,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,4184.76,1.08662,1.44182,0.01396,0.6498,0.53084,0.57982,0.39288,1.23727,1.55296,0.02449,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,4453.93,1.08611,1.41583,0.01369,0.6676,0.54291,0.58744,0.40098,1.2247,1.50129,0.02414,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,4723.17,1.06365,1.40114,0.01342,0.64605,0.54605,0.59017,0.40265,1.22499,1.50003,0.02422,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,4991.61,1.07131,1.37732,0.01345,0.66323,0.55777,0.60245,0.41356,1.21479,1.4616,0.02396,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,5255.97,1.05511,1.36225,0.01328,0.67208,0.54479,0.59393,0.41128,1.22043,1.49625,0.02403,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,5518.75,1.05892,1.34755,0.01331,0.69052,0.54355,0.60468,0.42103,1.1909,1.44335,0.0232,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,5793.83,1.04689,1.33277,0.01322,0.67498,0.56008,0.61335,0.42421,1.18328,1.42263,0.02318,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,6065.14,1.04755,1.31604,0.01311,0.69266,0.55976,0.6219,0.43232,1.20094,1.41897,0.02357,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,6334.45,1.02993,1.2951,0.01305,0.68959,0.56079,0.62133,0.43282,1.17985,1.40524,0.02298,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,6603.72,1.03479,1.30543,0.0129,0.70518,0.56345,0.62729,0.44263,1.15837,1.40986,0.02242,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,6872.5,1.0365,1.29247,0.01314,0.69894,0.56158,0.62677,0.44044,1.18799,1.38684,0.02335,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,7139.23,1.02576,1.26971,0.0128,0.70914,0.57136,0.63467,0.44358,1.17265,1.38485,0.02301,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,7404,1.01868,1.26228,0.01262,0.71103,0.58834,0.65078,0.45769,1.16941,1.33059,0.02255,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
