epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,178.522,3.36992,6.02992,0.03835,0.00161,0.06411,0.00092,0.00022,3.16515,4.03528,0.03951,0.00997041,0.00332347,0.00997041,0.00332347,0.00997041,0.00332347,0.00997041,0.00332347
2,288.155,3.06283,5.28429,0.03446,0.00406,0.1559,0.00867,0.00292,2.89448,3.80644,0.03612,0.0199309,0.00664362,0.0199309,0.00664362,0.0199309,0.00664362,0.0199309,0.00664362
3,397.645,2.31185,3.90415,0.02386,0.33488,0.12482,0.06577,0.02807,2.19552,3.32093,0.02514,0.0298517,0.00995058,0.0298517,0.00995058,0.0298517,0.00995058,0.0298517,0.00995058
4,522.017,2.03393,3.17336,0.02006,0.3451,0.18404,0.12802,0.06005,1.95884,2.77501,0.02126,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,651.585,1.90295,2.86327,0.01846,0.37555,0.24058,0.16935,0.09153,1.77596,2.56983,0.0192,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,786.002,1.80978,2.62527,0.01708,0.33825,0.2235,0.18972,0.10582,1.76663,2.48123,0.01888,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,920.323,1.77549,2.50271,0.01643,0.39166,0.27953,0.24853,0.13541,1.71071,2.1921,0.0181,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1055.95,1.72392,2.37746,0.01586,0.38507,0.28494,0.25515,0.14048,1.73295,2.16541,0.01843,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1189.32,1.68278,2.30733,0.01552,0.40062,0.32534,0.29258,0.17092,1.64856,2.13853,0.01743,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1323.17,1.65196,2.21116,0.0149,0.4771,0.3351,0.32574,0.18613,1.61867,1.9901,0.01686,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1457.86,1.62769,2.14741,0.01472,0.47784,0.3441,0.33099,0.19479,1.58648,1.93539,0.01649,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1593.3,1.59278,2.0764,0.0144,0.45735,0.36368,0.3378,0.20145,1.54779,1.87605,0.01591,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1729.08,1.5755,2.0205,0.01406,0.49308,0.36766,0.35975,0.21325,1.56826,1.83412,0.01611,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1864.16,1.54877,1.98402,0.01367,0.50265,0.38384,0.36339,0.22234,1.52749,1.90401,0.01574,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1999.12,1.53616,1.94526,0.0136,0.53773,0.3818,0.38712,0.23634,1.50754,1.76682,0.01551,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,2134.69,1.5244,1.89719,0.01321,0.52372,0.36661,0.37862,0.23468,1.49803,1.77811,0.01528,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,2269.7,1.49528,1.85232,0.01308,0.53565,0.41618,0.41271,0.25554,1.48851,1.701,0.015,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,2405.89,1.48717,1.82868,0.01286,0.54217,0.41856,0.41724,0.26042,1.47286,1.68029,0.01497,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,2541.28,1.47695,1.79448,0.01272,0.55003,0.41373,0.42957,0.26611,1.46535,1.61662,0.01498,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,2675.91,1.46588,1.77762,0.01255,0.53183,0.41004,0.41925,0.26209,1.4543,1.65,0.01469,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,2810.64,1.46136,1.75449,0.01239,0.54232,0.42397,0.42217,0.26722,1.47792,1.65049,0.015,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,2945.13,1.43362,1.71487,0.01233,0.57047,0.42826,0.4374,0.27386,1.45816,1.59087,0.01474,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,3081.65,1.42241,1.69864,0.01221,0.57523,0.44156,0.45412,0.28174,1.45126,1.58542,0.01461,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
