epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,498.5,1.37979,1.57453,0.00414,0.64756,0.54747,0.61553,0.37757,1.24934,0.91424,0.00697,0.00998665,0.00332888,0.00998665,0.00332888,0.00998665,0.00332888,0.00998665,0.00332888
2,896.127,1.28531,0.92675,0.0038,0.76628,0.60549,0.70798,0.46242,1.19761,0.80032,0.00677,0.0199471,0.00664903,0.0199471,0.00664903,0.0199471,0.00664903,0.0199471,0.00664903
3,1270.68,1.31145,0.91726,0.00389,0.71527,0.62685,0.69476,0.43398,1.23347,0.86272,0.00703,0.0298679,0.00995597,0.0298679,0.00995597,0.0298679,0.00995597,0.0298679,0.00995597
4,1638.37,1.31919,0.91605,0.00399,0.74611,0.6194,0.70743,0.46115,1.17795,0.77236,0.0067,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2006.12,1.29544,0.8727,0.00391,0.73572,0.63662,0.71422,0.46511,1.14776,0.75921,0.00657,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2373.27,1.25287,0.8079,0.00373,0.74893,0.69673,0.75918,0.48982,1.123,0.72321,0.00637,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2740.63,1.21153,0.76261,0.00355,0.79751,0.71224,0.80013,0.54384,1.08486,0.66399,0.00613,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3107.69,1.18491,0.72626,0.00343,0.76642,0.71837,0.79299,0.53783,1.07294,0.65102,0.00609,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3475.07,1.16258,0.69876,0.00338,0.79578,0.75209,0.8174,0.55505,1.04781,0.61196,0.00589,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3843.21,1.13155,0.66968,0.00329,0.79794,0.77206,0.82221,0.57118,1.01275,0.59776,0.00565,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
